id,images
Cuban_Press,"Cuban_Press/0.jpg, Cuban_Press/1.jpg"
Dancers_Stretch,"Dancers_Stretch/0.jpg, Dancers_Stretch/1.jpg"
Deadlift_with_Bands,"Deadlift_with_Bands/0.jpg, Deadlift_with_Bands/1.jpg"
Deadlift_with_Chains,"Deadlift_with_Chains/0.jpg, Deadlift_with_Chains/1.jpg"
Dead_Bug,"Dead_Bug/0.jpg, Dead_Bug/1.jpg"
Decline_Barbell_Bench_Press,"Decline_Barbell_Bench_Press/0.jpg, Decline_Barbell_Bench_Press/1.jpg"
Decline_Close-Grip_Bench_To_Skull_Crusher,"Decline_Close-Grip_Bench_To_Skull_Crusher/0.jpg, Decline_Close-Grip_Bench_To_Skull_Crusher/1.jpg"
Decline_Crunch,"Decline_Crunch/0.jpg, Decline_Crunch/1.jpg"
Decline_Dumbbell_Bench_Press,"Decline_Dumbbell_Bench_Press/0.jpg, Decline_Dumbbell_Bench_Press/1.jpg"
Decline_Dumbbell_Flyes,"Decline_Dumbbell_Flyes/0.jpg, Decline_Dumbbell_Flyes/1.jpg"
Decline_Dumbbell_Triceps_Extension,"Decline_Dumbbell_Triceps_Extension/0.jpg, Decline_Dumbbell_Triceps_Extension/1.jpg"
Decline_EZ_Bar_Triceps_Extension,"Decline_EZ_Bar_Triceps_Extension/0.jpg, Decline_EZ_Bar_Triceps_Extension/1.jpg"
Decline_Oblique_Crunch,"Decline_Oblique_Crunch/0.jpg, Decline_Oblique_Crunch/1.jpg"
Decline_Push-Up,"Decline_Push-Up/0.jpg, Decline_Push-Up/1.jpg"
Decline_Reverse_Crunch,"Decline_Reverse_Crunch/0.jpg, Decline_Reverse_Crunch/1.jpg"
Decline_Smith_Press,"Decline_Smith_Press/0.jpg, Decline_Smith_Press/1.jpg"
Deficit_Deadlift,"Deficit_Deadlift/0.jpg, Deficit_Deadlift/1.jpg"
Depth_Jump_Leap,"Depth_Jump_Leap/0.jpg, Depth_Jump_Leap/1.jpg"
Dips_-_Chest_Version,"Dips_-_Chest_Version/0.jpg, Dips_-_Chest_Version/1.jpg"
Dips_-_Triceps_Version,"Dips_-_Triceps_Version/0.jpg, Dips_-_Triceps_Version/1.jpg"
Dip_Machine,"Dip_Machine/0.jpg, Dip_Machine/1.jpg"
Donkey_Calf_Raises,"Donkey_Calf_Raises/0.jpg, Donkey_Calf_Raises/1.jpg"
Double_Kettlebell_Alternating_Hang_Clean,"Double_Kettlebell_Alternating_Hang_Clean/0.jpg, Double_Kettlebell_Alternating_Hang_Clean/1.jpg"
Double_Kettlebell_Jerk,"Double_Kettlebell_Jerk/0.jpg, Double_Kettlebell_Jerk/1.jpg"
